,id,op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition
130,5130,For sale,Pļavnieki,Dravnieku 13,3,64.0,7.0,9.0,602.,Panel,All amenities
131,5131,For sale,Ķengarags,Maskavas 260,2,47.0,4.0,5.0,LT proj.,Panel,All amenities
133,5133,For sale,centrs,Valdemāra 89,3,104.0,5.0,5.0,P. kara,Masonry,All amenities
134,5134,For sale,Sarkandaugava,Limbažu 4/1,2,45.6,5.0,5.0,Hrušč.,Panel,All amenities
135,5135,For sale,Imanta,Dumbrāja 18,3,68.0,3.0,4.0,Jaun.,Panel,All amenities
137,5137,For sale,centrs,Čaka 33,2,47.0,6.0,7.0,Renov.,Masonry,All amenities
143,5143,For sale,Purvciems,Purvciema 26,3,79.0,9.0,9.0,119.,Panel,All amenities
145,5145,For sale,Teika,Vidrižu 4,4,95.0,1.0,9.0,Specpr.,Brick-Panel,All amenities
147,5147,For sale,Dzegužkalns,Jaunsaules 18,2,48.0,2.0,5.0,LT proj.,Panel,All amenities
154,5154,For sale,Pļavnieki,Jasmuižas 13,4,75.0,3.0,8.0,467.,Panel,All amenities
157,5157,For sale,Ziepniekkalns,Bērzlapu 2,2,57.0,3.0,16.0,104.,Panel,All amenities
158,5158,For sale,Čiekurkalns,Čiekurkalna 5. šķ l. 1,1,29.6,2.0,2.0,Priv. m.,Wood,All amenities
161,5161,For sale,Mežciems,Celmu 5,2,50.0,3.0,5.0,LT proj.,Panel,All amenities
162,5162,For sale,centrs,Brīvības iela 136,2,43.0,1.0,5.0,P. kara,Masonry,All amenities
170,5170,For sale,Dārzciems,Stopiņu 12,1,37.0,1.0,1.0,Priv. m.,Brick,All amenities
173,5173,For sale,centrs,Vārnu 8,2,56.0,1.0,6.0,P. kara,Brick,All amenities
176,5176,For sale,Vecrīga,Kungu 25,3,138.0,3.0,6.0,Jaun.,Masonry,All amenities
178,5178,For sale,Zolitūde,Priedaines 13,1,56.0,1.0,4.0,Jaun.,Brick-Panel,All amenities
184,5184,For sale,Daugavgrīva,Lēpju 13,2,54.0,3.0,5.0,103.,Brick-Panel,All amenities
185,5185,For sale,Bieriņi,Spirgus 4,2,47.0,2.0,2.0,Renov.,Wood,All amenities
191,5191,For sale,Purvciems,Nīcgales 4,2,50.0,4.0,9.0,602.,Panel,All amenities
195,5195,For sale,Mežaparks,Viestura pr. 16,3,60.0,3.0,9.0,467.,Panel,All amenities
200,5200,For sale,centrs,Birznieka-Upīša 18a,3,70.0,3.0,7.0,Renov.,Masonry,All amenities
201,5201,For sale,centrs,Rūdolfa 1,1,30.0,3.0,6.0,P. kara,Brick,All amenities
205,5205,For sale,Berģi,Berģu 17,2,51.0,1.0,2.0,Jaun.,Masonry,All amenities
206,5206,For sale,Dzegužkalns,Lielezeres 10,3,65.0,5.0,5.0,Jaun.,Masonry,All amenities
207,5207,For sale,Dzegužkalns,Lielezeres 10,3,62.0,5.0,5.0,Jaun.,Masonry,All amenities
208,5208,For sale,Dzegužkalns,Lielezeres 10,3,85.0,5.0,5.0,Jaun.,Masonry,All amenities
209,5209,For sale,Dzegužkalns,Lielezeres 10,2,58.0,5.0,5.0,Jaun.,Masonry,All amenities
211,5211,For sale,centrs,Lugažu 14,1,24.0,3.0,3.0,Staļina,Brick,All amenities
213,5213,For sale,centrs,Klijānu 6,3,52.0,6.0,9.0,Jaun.,Panel-Brick,All amenities
217,5217,For sale,Purvciems,Ieriķu 33,3,60.0,5.0,5.0,LT proj.,Panel,All amenities
218,5218,For sale,Ķengarags,Maskavas 250/6,3,60.0,2.0,5.0,LT proj.,Panel,All amenities
219,5219,For sale,Ķengarags,Lokomotīves 88,3,61.0,4.0,5.0,LT proj.,Panel,All amenities
221,5221,For sale,Mežciems,Kaivas 50/1,3,74.0,1.0,5.0,Jaun.,Brick-Panel,All amenities
222,5222,For sale,Mežciems,Kaivas 50/1,4,113.0,3.0,5.0,Jaun.,Brick-Panel,All amenities
223,5223,For sale,centrs,Valdemāra 37,3,78.0,4.0,6.0,Renov.,Masonry,All amenities
225,5225,For sale,Pļavnieki,Dzeņu 8,1,41.0,3.0,5.0,M. ģim.,Panel,All amenities
228,5228,For sale,centrs,Blaumaņa 12,3,63.2,2.0,6.0,Renov.,Masonry,All amenities
229,5229,For sale,Zolitūde,Anniņmuižas 2 b,4,91.0,1.0,9.0,119.,Panel,All amenities
230,5230,For sale,Purvciems,Ūnijas 32,1,13.0,1.0,2.0,P. kara,Wood,All amenities
236,5236,For sale,Ķengarags,Lokomotīves 46,2,39.0,2.0,5.0,LT proj.,Brick-Panel,All amenities
240,5240,For sale,Brekši,Biķernieku 218,3,66.0,2.0,5.0,103.,Brick-Panel,All amenities
241,5241,For sale,Jugla,Silciema 5,3,58.0,2.0,5.0,Hrušč.,Panel,All amenities
243,5243,For sale,centrs,Pērnavas 43,3,54.0,3.0,6.0,P. kara,Brick,Partial amenities
244,5244,For sale,Mežciems,Kaivas 50/1,2,64.0,2.0,5.0,Jaun.,Brick-Panel,All amenities
250,5250,For sale,centrs,Zvaigžņu 24,2,29.0,3.0,7.0,P. kara,Masonry,All amenities
251,5251,For sale,centrs,Valdemāra 37,3,78.0,4.0,6.0,Renov.,Masonry,All amenities
252,5252,For sale,Teika,Bērzpils 1,2,45.0,1.0,5.0,Hrušč.,Brick,All amenities
253,5253,For sale,Mežciems,Hipokrāta 17,3,62.0,6.0,9.0,602.,Panel,All amenities
256,5256,For sale,Āgenskalns,Kuldīgas 10,1,21.0,2.0,2.0,Specpr.,Wood,Partial amenities
258,5258,For sale,Teika,Apes 5,2,46.0,1.0,5.0,Specpr.,Brick,All amenities
259,5259,For sale,Āgenskalns,Gregora 8,1,33.0,5.0,9.0,467.,Panel,All amenities
260,5260,For sale,Dzegužkalns,Daugavgrīvas 74a,1,21.0,7.0,9.0,Specpr.,Brick,All amenities
261,5261,For sale,Ziepniekkalns,Ozolciema 32,1,32.0,9.0,9.0,602.,Panel,All amenities
262,5262,For sale,Purvciems,Ilūkstes 467,1,32.0,4.0,9.0,467.,Panel,All amenities
264,5264,For sale,Purvciems,Dzelzavas 79,4,75.0,6.0,9.0,467.,Panel,All amenities
266,5266,For sale,Ziepniekkalns,Līvciema 9,3,75.0,3.0,7.0,Specpr.,Panel,All amenities
267,5267,For sale,Āgenskalns,Kuldīgas 10,1,17.0,2.0,2.0,Specpr.,Wood,Partial amenities
271,5271,For sale,centrs,Tomsona 23,3,58.0,2.0,5.0,Hrušč.,Brick,All amenities
272,5272,For sale,Imanta,Kurzemes pr. 68,2,39.0,3.0,5.0,LT proj.,Panel,All amenities
274,5274,For sale,Iļģuciems,Lilijas 22,3,84.0,2.0,4.0,Jaun.,Brick-Panel,All amenities
275,5275,For sale,Imanta,Dumbrāja 18,3,68.0,3.0,4.0,Jaun.,Panel-Brick,All amenities
276,5276,For sale,Iļģuciems,Saulgožu 19,2,43.0,3.0,5.0,Hrušč.,Masonry,All amenities
277,5277,For sale,centrs,Ganu 4,5,145.0,4.0,5.0,P. kara,Masonry,All amenities
278,5278,For sale,Krasta r-ns,Rītupes 28,3,59.0,9.0,9.0,467.,Panel,All amenities
279,5279,For sale,Sarkandaugava,Sofijas 4,1,26.0,2.0,5.0,Hrušč.,Brick,All amenities
280,5280,For sale,Iļģuciems,Motoru 7,1,27.0,1.0,5.0,LT proj.,Panel,All amenities
283,5283,For sale,Daugavgrīva,Birzes 42,2,53.0,5.0,5.0,103.,Brick-Panel,All amenities
284,5284,For sale,Mežciems,Hipokrāta 11,1,46.0,8.0,16.0,104.,Panel,All amenities
286,5286,For sale,centrs,Barona 25,4,99.0,6.0,6.0,P. kara,Brick,Partial amenities
289,5289,For sale,Purvciems,Purvciema 13,1,46.0,8.0,12.0,104.,Panel,All amenities
292,5292,For sale,centrs,Avotu 4,1,23.0,2.0,5.0,Renov.,Masonry,All amenities
293,5293,For sale,Vecmīlgrāvis,Melīdas 1/15,2,52.0,5.0,5.0,LT proj.,Panel,All amenities
294,5294,For sale,centrs,Avotu 4,2,41.0,2.0,5.0,Renov.,Brick,All amenities
299,5299,For sale,Purvciems,Nīcgales 21,3,59.0,1.0,5.0,LT proj.,Panel,All amenities
300,5300,For sale,Imanta,Kleistu 8,3,67.0,2.0,5.0,LT proj.,Panel,Partial amenities
301,5301,For sale,centrs,Stabu 18a,4,138.0,3.0,5.0,P. kara,Masonry,All amenities
302,5302,For sale,centrs,Barona 14,2,47.0,2.0,5.0,Renov.,Masonry,All amenities
303,5303,For sale,Āgenskalns,Slokas 13a,4,88.0,2.0,4.0,P. kara,Brick,All amenities
305,5305,For sale,Pļavnieki,Saharova 27,3,73.0,4.0,16.0,Specpr.,Masonry,All amenities
306,5306,For sale,centrs,Artilērijas 35b,3,73.0,4.0,4.0,Renov.,Masonry,All amenities
307,5307,For sale,centrs,Artilērijas 35b,2,52.0,3.0,4.0,Renov.,Masonry,All amenities
309,5309,For sale,Imanta,Vīksnes 21,4,125.0,5.0,7.0,Jaun.,Brick-Panel,All amenities
310,5310,For sale,Pļavnieki,Slāvu 13,3,67.0,7.0,9.0,602.,Brick-Panel,All amenities
316,5316,For sale,Brekši,Juglasciema b. 54,2,56.0,2.0,2.0,Jaun.,Masonry,All amenities
320,5320,For sale,Ķīpsala,Ogļu 30,3,104.0,2.0,2.0,Jaun.,Masonry,All amenities
322,5322,For sale,centrs,Blaumaņa 21,2,80.0,1.0,7.0,P. kara,Masonry,All amenities
323,5323,For sale,centrs,Šarlotes 7,2,33.0,3.0,7.0,Jaun.,Brick-Panel,All amenities
324,5324,For sale,centrs,Zvaigžņu 24,3,72.4,2.0,6.0,Specpr.,Brick,All amenities
328,5328,For sale,centrs,Elizabetes 57a,3,167.0,1.0,7.0,Renov.,Brick-Panel,Without amenities
329,5329,For sale,Jugla,Juglas 23-18,2,45.0,5.0,5.0,Hrušč.,Panel,All amenities
333,5333,For sale,centrs,Birznieka-Upīša 10,3,71.0,2.0,5.0,Renov.,Masonry,All amenities
335,5335,For sale,Vecrīga,Peitavas 5,3,91.0,3.0,5.0,P. kara,Masonry,All amenities
336,5336,For sale,Imanta,Dammes 13,2,50.0,1.0,9.0,602.,Panel,All amenities
342,5342,For sale,Zolitūde,Gramzdas 80,4,176.0,4.0,4.0,Jaun.,Brick-Panel,All amenities
345,5345,For sale,centrs,Bruņinieku 68a,2,45.0,2.0,4.0,P. kara,Brick,All amenities
348,5348,For sale,Āgenskalns,Mūkusalas 25,4,170.0,5.0,6.0,Jaun.,Masonry,All amenities
349,5349,For sale,Purvciems,Pūces 45,3,95.0,6.0,7.0,Jaun.,Masonry,All amenities
352,5352,For sale,centrs,Ausekļa 8,2,53.0,5.0,6.0,Specpr.,Brick-Panel,All amenities
353,5353,For sale,Ziepniekkalns,Graudu 29,4,109.0,3.0,4.0,Jaun.,Masonry,All amenities
354,5354,For sale,Āgenskalns,Lielirbes 13,2,67.0,9.0,30.0,Jaun.,Masonry,All amenities
355,5355,For sale,centrs,11. novembra krastm. 11,4,170.0,5.0,6.0,Jaun.,Masonry,All amenities
356,5356,For sale,centrs,Avotu 4,2,34.8,2.0,5.0,Renov.,Masonry,All amenities
359,5359,For sale,centrs,Barona 14,2,40.3,5.0,5.0,Renov.,Masonry,All amenities
360,5360,For sale,centrs,Barona 14,2,35.0,4.0,5.0,Renov.,Masonry,All amenities
361,5361,For sale,Āgenskalns,Kalnciema 57,2,52.0,4.0,4.0,Staļina,Masonry,All amenities
362,5362,For sale,Vecrīga,Laipu 6,1,25.0,3.0,5.0,P. kara,Masonry,All amenities
365,5365,For sale,centrs,Lugažu 4,2,45.0,1.0,5.0,LT proj.,Panel,All amenities
368,5368,For sale,centrs,Brīvības 30,3,82.0,4.0,4.0,P. kara,Masonry,All amenities
369,5369,For sale,Vecrīga,Laipu 6,2,48.0,2.0,4.0,Renov.,Masonry,All amenities
371,5371,For sale,Bolderāja,Gobas 28,3,67.0,5.0,5.0,103.,Brick-Panel,All amenities
372,5372,For sale,Ķengarags,Maskavas 238,4,140.0,2.0,7.0,Jaun.,Brick-Panel,All amenities
373,5373,For sale,Krasta r-ns,Ogres 5,4,140.0,2.0,7.0,Jaun.,Brick-Panel,All amenities
374,5374,For sale,Jugla,Kvēles 15/15,3,59.0,3.0,5.0,LT proj.,Panel,All amenities
378,5378,For sale,centrs,Lāčplēša 125,1,32.0,4.0,5.0,Renov.,Brick,All amenities
380,5380,For sale,Vecmīlgrāvis,Sniega 2,3,55.0,5.0,5.0,LT proj.,Panel,All amenities
381,5381,For sale,centrs,Tērbatas 60,4,94.0,4.0,5.0,P. kara,Masonry,All amenities
382,5382,For sale,Maskavas priekšpilsēta,Daugavpils 76,1,25.0,6.0,5.0,P. kara,Brick,All amenities
383,5383,For sale,centrs,Blaumaņa 9,4,105.0,4.0,6.0,Renov.,Masonry,All amenities
384,5384,For sale,centrs,Blaumaņa 9,Citi,287.0,5.0,6.0,Renov.,Brick,All amenities
385,5385,For sale,Pļavnieki,Ilūkstes 41,2,60.0,2.0,2.0,Priv. m.,Masonry,All amenities
386,5386,For sale,centrs,Blaumaņa 9,1,33.0,1.0,6.0,Renov.,Masonry,All amenities
387,5387,For sale,centrs,Avotu 4,1,21.0,2.0,5.0,Renov.,Masonry,All amenities
388,5388,For sale,Ziepniekkalns,Ozolciema 18,1,46.0,2.0,9.0,119.,Panel,All amenities
390,5390,For sale,centrs,Blaumaņa 9,4,74.0,1.0,6.0,Renov.,Masonry,All amenities
392,5392,For sale,Šķirotava,Gravas 17,2,44.0,4.0,5.0,Jaun.,Panel-Brick,All amenities
398,5398,For sale,Āgenskalns,Kuldīgas 45,1,20.0,2.0,3.0,P. kara,Wood,All amenities
399,5399,For sale,Daugavgrīva,Parādes 22,2,41.0,3.0,5.0,Hrušč.,Masonry,All amenities
402,5402,For sale,centrs,Brīvības iela 165,2,61.0,3.0,5.0,Staļina,Masonry,All amenities
403,5403,For sale,Teika,Ķeguma 43,1,43.0,3.0,5.0,M. ģim.,Panel,All amenities
405,5405,For sale,Ziepniekkalns,Ozolciema 48,1,45.0,3.0,9.0,M. ģim.,Panel,All amenities
406,5406,For sale,centrs,Stabu 46,3,74.0,3.0,6.0,P. kara,Masonry,All amenities
407,5407,For sale,centrs,Artilērijas 3,2,46.0,3.0,5.0,P. kara,Masonry,All amenities
411,5411,For sale,centrs,Kalniņa 1,1,27.0,5.0,5.0,Renov.,Masonry,All amenities
412,5412,For sale,centrs,Ganību d. 13,2,46.0,5.0,5.0,103.,Brick-Panel,All amenities
416,5416,For sale,Mežciems,Biķernieku 242,2,42.0,2.0,2.0,P. kara,Wood,All amenities
417,5417,For sale,Teika,Brīvības gatve 209,4,117.0,5.0,5.0,P. kara,Brick,All amenities
419,5419,For sale,Klīversala,Kuģu 26,3,60.0,3.0,5.0,Jaun.,Brick-Panel,All amenities
421,5421,For sale,centrs,Zvaigžņu 31,1,20.0,1.0,2.0,P. kara,Masonry,Partial amenities
422,5422,For sale,centrs,Blaumaņa 8,3,107.0,5.0,5.0,P. kara,Brick,All amenities
423,5423,For sale,Iļģuciems,Reņģes 70 k2,2,45.0,1.0,3.0,Hrušč.,Brick,All amenities
427,5427,For sale,Dzegužkalns,Dzegužu 1,2,41.0,3.0,3.0,Hrušč.,Masonry,All amenities
429,5429,For sale,Ziepniekkalns,Komētas 18,4,140.0,4.0,4.0,Jaun.,Panel,All amenities
430,5430,For sale,centrs,Čaka 52/2,4,137.0,3.0,5.0,P. kara,Masonry,All amenities
431,5431,For sale,Pļavnieki,Jasmuižas 22,4,118.0,1.0,3.0,Jaun.,Brick-Panel,All amenities
433,5433,For sale,Ķengarags,Salaspils 16b,3,75.0,6.0,12.0,Čehu pr.,Brick,All amenities
434,5434,For sale,Vecrīga,Mārstaļu 16,3,101.0,3.0,6.0,Renov.,Masonry,All amenities
435,5435,For sale,centrs,Barona 60,1,43.0,3.0,3.0,P. kara,Wood,All amenities
439,5439,For sale,Maskavas priekšpilsēta,Daugavpils 8,4,95.0,1.0,2.0,Specpr.,Wood,All amenities
440,5440,For sale,Āgenskalns,Melnsila 14,3,64.0,2.0,4.0,Renov.,Wood,All amenities
442,5442,For sale,Purvciems,Ilūkstes 109,1,37.0,1.0,9.0,467.,Panel,All amenities
444,5444,For sale,Pļavnieki,Pavasara g. 1,3,63.0,2.0,9.0,602.,Panel,All amenities
445,5445,For sale,Imanta,Dammes 4,2,49.0,2.0,9.0,602.,Panel,All amenities
446,5446,For sale,Iļģuciems,Daugavgrīvas 55,3,48.0,1.0,2.0,P. kara,Wood,Partial amenities
448,5448,For sale,Bolderāja,Mežrozīšu 5,2,37.0,1.0,2.0,Specpr.,Wood,Partial amenities
449,5449,For sale,Jaunciems,Jaunciema g. 167,1,24.0,1.0,2.0,P. kara,Wood,Partial amenities
451,5451,For sale,Dzegužkalns,Kuldīgas 10,1,18.0,2.0,2.0,Specpr.,Wood,Partial amenities
452,5452,For sale,Iļģuciems,Viļņas 3,1,52.0,2.0,2.0,P. kara,Wood,Partial amenities
453,5453,For sale,Sarkandaugava,Ceļinieku 12,1,15.0,2.0,3.0,P. kara,Masonry,Partial amenities
454,5454,For sale,Vecmīlgrāvis,Meldru 6,2,43.0,2.0,5.0,Hrušč.,Brick,All amenities
455,5455,For sale,Torņakalns,Konrāda 9,3,41.0,2.0,2.0,P. kara,Wood,Partial amenities
456,5456,For sale,Šķirotava,Malēju 4a,1,18.0,3.0,4.0,Specpr.,Brick,All amenities
457,5457,For sale,Vecmīlgrāvis,Mildas 4a,2,46.0,1.0,2.0,Staļina,Masonry,All amenities
460,5460,For sale,Ziepniekkalns,Valdeķu 53,3,75.0,9.0,10.0,119.,Panel,Without amenities
461,5461,For sale,Vecmīlgrāvis,Emmas 28,2,36.0,3.0,4.0,Jaun.,Brick-Panel,All amenities
462,5462,For sale,Maskavas priekšpilsēta,Jersikas 37,1,39.0,2.0,4.0,P. kara,Masonry,All amenities
466,5466,For sale,centrs,Hospitāļu 38,4,139.0,6.0,6.0,Renov.,Masonry,All amenities
467,5467,For sale,centrs,Blaumaņa 12,2,43.0,1.0,6.0,Renov.,Masonry,All amenities
468,5468,For sale,Ziepniekkalns,Valdeķu 54,2,50.0,1.0,9.0,602.,Panel,All amenities
469,5469,For sale,Ķengarags,Maskavas 256,3,60.0,5.0,5.0,LT proj.,Panel,All amenities
471,5471,For sale,Vecrīga,Vāgnera 12,2,34.0,3.0,4.0,P. kara,Masonry,All amenities
472,5472,For sale,Jugla,Ciemupes 1,5,217.0,9.0,10.0,Jaun.,Panel-Brick,All amenities
475,5475,For sale,Šķirotava,Sila 2,3,52.0,1.0,2.0,Specpr.,Wood,Partial amenities
476,5476,For sale,Ziepniekkalns,Bauskas 135,1,20.0,2.0,2.0,P. kara,Wood,Partial amenities
477,5477,For sale,centrs,Maskavas 108,2,100.0,1.0,2.0,P. kara,Brick,Partial amenities
478,5478,For sale,Šķirotava,Malēju 4a,2,37.0,4.0,4.0,M. ģim.,Brick,All amenities
479,5479,For sale,centrs,Duntes 24a,1,24.0,2.0,2.0,P. kara,Brick,All amenities
480,5480,For sale,Maskavas priekšpilsēta,Daugavpils 8,1,24.0,1.0,3.0,P. kara,Wood,All amenities
481,5481,For sale,centrs,Valmieras 32,1,18.0,1.0,2.0,Staļina,Wood,Partial amenities
482,5482,For sale,Imanta,Dammes 36,2,50.0,3.0,9.0,602.,Panel,All amenities
485,5485,For sale,Torņakalns,Altonavas 19,1,17.0,1.0,2.0,Specpr.,Panel,All amenities
487,5487,For sale,centrs,Valdemāra 23,4,102.0,1.0,6.0,Renov.,Masonry,All amenities
488,5488,For sale,centrs,Lāčplēša 11,3,106.0,6.0,7.0,Jaun.,Panel-Brick,All amenities
489,5489,For sale,Mežaparks,Ezermalas 13,2,72.0,2.0,5.0,Jaun.,Brick-Panel,All amenities
492,5492,For sale,Āgenskalns,Mūkusalas 29,3,210.0,2.0,4.0,Jaun.,Masonry,All amenities
497,5497,For sale,Ķengarags,Maskavas 419,2,47.0,2.0,5.0,LT proj.,Panel,All amenities
501,5501,For sale,Ķengarags,Salaspils 12/3,2,48.0,3.0,5.0,LT proj.,Panel,All amenities
506,5506,For sale,Purvciems,Burtnieku 33,1,18.0,5.0,5.0,Specpr.,Panel-Brick,Partial amenities
507,5507,For sale,centrs,Katrīnas d. 24/3,2,46.0,1.0,2.0,Staļina,Brick,All amenities
513,5513,For sale,Pļavnieki,Rudens 9,2,51.0,2.0,9.0,602.,Panel,All amenities
514,5514,For sale,Ziepniekkalns,Komētas 26,3,77.0,1.0,4.0,Jaun.,Panel,All amenities
515,5515,For sale,Ziepniekkalns,Komētas 32,2,65.0,1.0,4.0,Jaun.,Panel,All amenities
516,5516,For sale,Zasulauks,Tapešu 23,2,38.0,2.0,5.0,Specpr.,Brick,All amenities
517,5517,For sale,Zolitūde,Bieziņa 3,2,58.0,9.0,10.0,119.,Panel,All amenities
518,5518,For sale,Imanta,Anniņmuižas bulvāris 38,3,101.0,4.0,18.0,Jaun.,Brick-Panel,All amenities
519,5519,For sale,Maskavas priekšpilsēta,Rēznas 5,4,130.0,1.0,5.0,Staļina,Masonry,All amenities
520,5520,For sale,Iļģuciems,Reņģes 2a,1,27.0,5.0,5.0,LT proj.,Panel,All amenities
522,5522,For sale,Purvciems,Marsa g. 10,3,66.0,1.0,5.0,LT proj.,Panel,All amenities
