,id,op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition
155,5155,For rent,Pļavnieki,Jasmuižas 24,1,22.0,1.0,3.0,Jaun.,Panel,All amenities
156,5156,For rent,centrs,Tērbatas 78,1,33.0,2.0,5.0,P. kara,Masonry,All amenities
159,5159,For rent,Zolitūde,Gramzdas 80,2,55.0,1.0,4.0,Jaun.,Panel,All amenities
160,5160,For rent,Iļģuciems,Baltā 17,3,62.0,1.0,5.0,LT proj.,Panel,All amenities
163,5163,For rent,Ķengarags,Maskavas 381/7,2,49.0,3.0,3.0,Staļina,Brick,All amenities
164,5164,For rent,Mežciems,Hipokrāta 41,1,32.0,8.0,9.0,602.,Panel,All amenities
165,5165,For rent,Purvciems,Andromedas g. 12,2,51.0,3.0,5.0,LT proj.,Panel,All amenities
166,5166,For rent,Āgenskalns,Mūkusalas 29,2,79.0,4.0,4.0,Jaun.,Masonry,All amenities
167,5167,For rent,Āgenskalns,Talsu 9,2,44.0,3.0,6.0,P. kara,Masonry,Partial amenities
168,5168,For rent,Āgenskalns,Kalnciema 20,1,36.0,2.0,2.0,P. kara,Brick,All amenities
169,5169,For rent,centrs,Sadovņikova 39a,1,30.0,3.0,5.0,P. kara,Brick,All amenities
171,5171,For rent,centrs,Vesetas 30,2,42.0,4.0,6.0,Hrušč.,Brick,All amenities
172,5172,For rent,centrs,Sadovņikova 21,1,40.0,2.0,4.0,P. kara,Brick,All amenities
174,5174,For rent,centrs,Klusā 21,1,24.0,2.0,5.0,Renov.,Brick-Panel,All amenities
175,5175,For rent,Bolderāja,Lemešu 9,1,34.0,1.0,9.0,602.,Panel,All amenities
177,5177,For rent,Ķengarags,Maskavas 313,1,38.0,8.0,12.0,Čehu pr.,Brick,All amenities
179,5179,For rent,centrs,Teātra 2,3,98.0,4.0,6.0,Jaun.,Brick,All amenities
180,5180,For rent,Vecrīga,Teātra 2,3,98.0,4.0,6.0,Jaun.,Brick,All amenities
181,5181,For rent,Āgenskalns,Valguma 35,2,40.0,1.0,5.0,Staļina,Brick,All amenities
182,5182,For rent,centrs,Lugažu 14,1,30.0,1.0,3.0,Staļina,Brick,All amenities
183,5183,For rent,Imanta,Kurzemes pr. 2,1,28.0,1.0,4.0,602.,Brick-Panel,All amenities
186,5186,For rent,centrs,Klijānu 12,2,32.0,1.0,3.0,Jaun.,Brick,All amenities
187,5187,For rent,centrs,Vesetas 26,2,43.0,4.0,9.0,Jaun.,Panel-Brick,All amenities
188,5188,For rent,centrs,Bruņinieku 72,1,49.0,3.0,3.0,Jaun.,Masonry,All amenities
189,5189,For rent,Dārzciems,Nīcgales 52,1,35.0,2.0,5.0,103.,Brick,All amenities
190,5190,For rent,Purvciems,Nīcgales 52,1,35.0,2.0,5.0,103.,Brick,All amenities
192,5192,For rent,centrs,Dzirnavu 6,3,60.0,3.0,5.0,Renov.,Masonry,All amenities
197,5197,For rent,centrs,Barona 28,3,93.0,5.0,5.0,P. kara,Masonry,All amenities
198,5198,For rent,centrs,Lāčplēša 70,3,85.0,3.0,5.0,P. kara,Brick,All amenities
199,5199,For rent,Jugla,Brīvības gatve 365,2,40.0,1.0,5.0,Hrušč.,Brick,All amenities
202,5202,For rent,centrs,Tomsona 30,2,55.0,5.0,9.0,Jaun.,Panel,All amenities
204,5204,For rent,Jugla,Brīvības gatve 405/1,2,46.0,2.0,5.0,Hrušč.,Brick,All amenities
210,5210,For rent,Ziepniekkalns,Ozolciema 18,2,58.0,8.0,9.0,119.,Panel,All amenities
212,5212,For rent,Ziepniekkalns,Graudu 13,4,223.0,2.0,2.0,Priv. m.,Brick-Panel,All amenities
214,5214,For rent,centrs,Lāčplēša 77,1,31.0,2.0,2.0,P. kara,Wood,All amenities
215,5215,For rent,Čiekurkalns,Čiekurkalna 2. l. 1,1,23.0,1.0,2.0,P. kara,Masonry,All amenities
216,5216,For rent,centrs,Pulkv. Brieža 21,2,83.0,3.0,7.0,Jaun.,Panel,All amenities
220,5220,For rent,Purvciems,Dzelzavas 53,1,34.0,5.0,9.0,467.,Panel,All amenities
224,5224,For rent,centrs,Stabu 94,3,97.0,6.0,6.0,Renov.,Masonry,All amenities
226,5226,For rent,Sarkandaugava,Ganību d. 31b,2,39.0,2.0,5.0,Specpr.,Brick-Panel,All amenities
227,5227,For rent,Sarkandaugava,Ganību d. 31b,1,30.0,4.0,5.0,Renov.,Brick-Panel,All amenities
231,5231,For rent,Mežaparks,Viestura pr. 37,1,35.0,3.0,17.0,Specpr.,Brick-Panel,All amenities
232,5232,For rent,centrs,Marijas 20,4,114.0,4.0,5.0,P. kara,Masonry,All amenities
233,5233,For rent,Ziepniekkalns,Ozolciema 24,1,43.0,3.0,10.0,119.,Brick-Panel,All amenities
234,5234,For rent,Mežciems,Hipokrāta 13,1,45.0,3.0,16.0,104.,Brick-Panel,All amenities
235,5235,For rent,Pļavnieki,Dzeņu 8,1,40.0,4.0,5.0,M. ģim.,Panel,All amenities
237,5237,For rent,Ziepniekkalns,Valdeķu 62,1,38.0,3.0,9.0,Specpr.,Brick,All amenities
238,5238,For rent,centrs,Cēsu 41,2,40.0,2.0,2.0,P. kara,Wood,All amenities
239,5239,For rent,Purvciems,Dudajeva g. 5,1,28.0,3.0,5.0,LT proj.,Brick-Panel,All amenities
242,5242,For rent,centrs,Klijānu 6,1,14.0,5.0,9.0,Jaun.,Panel-Brick,All amenities
245,5245,For rent,centrs,Matīsa 41,1,22.0,1.0,2.0,Jaun.,Wood,All amenities
246,5246,For rent,centrs,Matīsa 46,1,17.0,3.0,5.0,Jaun.,Masonry,All amenities
247,5247,For rent,Iļģuciems,Motoru 3,1,25.0,5.0,5.0,M. ģim.,Brick,All amenities
248,5248,For rent,centrs,Barona 24/26,1,22.0,6.0,6.0,Renov.,Masonry,All amenities
249,5249,For rent,Ziepniekkalns,Ozolciema 30,1,40.0,6.0,9.0,M. ģim.,Panel,All amenities
254,5254,For rent,centrs,Cēsu 5,2,48.0,3.0,6.0,P. kara,Masonry,All amenities
255,5255,For rent,centrs,Valdemāra 53,1,19.0,3.0,5.0,P. kara,Masonry,All amenities
257,5257,For rent,Āgenskalns,Tukuma 3,1,24.0,2.0,3.0,P. kara,Panel-Brick,All amenities
265,5265,For rent,Pļavnieki,Salnas 34,2,48.0,2.0,9.0,602.,Panel,All amenities
268,5268,For rent,centrs,Lāčplēša 123,3,57.0,6.0,6.0,Jaun.,Masonry,All amenities
269,5269,For rent,Teika,Burtnieku 35,1,18.0,3.0,5.0,M. ģim.,Brick,All amenities
273,5273,For rent,centrs,Tērbatas 26,2,52.0,4.0,4.0,P. kara,Brick,All amenities
281,5281,For rent,Mangaļi,Carnikavas 3c,1,24.0,1.0,1.0,Specpr.,Brick,All amenities
282,5282,For rent,Zolitūde,Gramzdas 19,2,60.0,9.0,5.0,119.,Panel,All amenities
285,5285,For rent,centrs,Maskavas 50,3,70.0,2.0,3.0,P. kara,Masonry,All amenities
287,5287,For rent,centrs,Matīsa 85,2,48.0,1.0,4.0,P. kara,Masonry,All amenities
288,5288,For rent,Ķengarags,Krustpils 123a,1,19.0,1.0,1.0,Renov.,Brick,All amenities
290,5290,For rent,Imanta,Kurzemes pr. 148,1,33.0,7.0,9.0,602.,Panel,All amenities
291,5291,For rent,Imanta,Dubultu 20,2,39.0,3.0,5.0,LT proj.,Panel,All amenities
295,5295,For rent,centrs,Stabu 102,1,12.0,5.0,5.0,P. kara,Brick,All amenities
296,5296,For rent,Jugla,Juglas 3,1,38.0,8.0,12.0,Specpr.,Brick,All amenities
297,5297,For rent,Āgenskalns,Valentīna 16,3,70.0,1.0,1.0,Jaun.,Brick,All amenities
298,5298,For rent,Imanta,Anniņmuižas iela 28,2,60.0,11.0,16.0,Specpr.,Brick,All amenities
304,5304,For rent,Āgenskalns,Talsu 42,1,25.0,3.0,5.0,P. kara,Masonry,Partial amenities
308,5308,For rent,Ziepniekkalns,Ozolciema 21/1,2,55.0,10.0,10.0,119.,Panel-Brick,All amenities
311,5311,For rent,centrs,Grēcinieku 24,3,142.0,4.0,7.0,P. kara,Brick-Panel,All amenities
312,5312,For rent,centrs,Čaka 33,2,40.0,4.0,6.0,P. kara,Brick,All amenities
313,5313,For rent,Mangaļi,Viestura pr. 22,2,48.0,3.0,4.0,Specpr.,Brick,All amenities
314,5314,For rent,centrs,Upes 2a,1,34.0,5.0,5.0,Specpr.,Panel-Brick,All amenities
315,5315,For rent,centrs,Brīvības 103,Citi,300.0,4.0,5.0,Specpr.,Masonry,All amenities
318,5318,For rent,Āgenskalns,Raņķa d. 34,3,109.0,8.0,23.0,Jaun.,Panel,All amenities
319,5319,For rent,Ķīpsala,Ogļu 32,3,80.0,1.0,4.0,Renov.,Masonry,All amenities
321,5321,For rent,centrs,Stabu 16,5,250.0,4.0,6.0,Renov.,Masonry,All amenities
325,5325,For rent,centrs,Rūpniecības 22,3,98.0,6.0,7.0,Specpr.,Brick,All amenities
326,5326,For rent,Jugla,Vidzemes al. 1,2,48.0,8.0,12.0,Čehu pr.,Brick-Panel,All amenities
327,5327,For rent,centrs,Krāsotāju 6,3,95.0,4.0,5.0,Jaun.,Masonry,All amenities
330,5330,For rent,centrs,Sadovņikova 47,1,19.0,3.0,5.0,P. kara,Brick,Partial amenities
331,5331,For rent,Krasta r-ns,Salacas 1,1,36.0,3.0,4.0,Renov.,Brick-Panel,All amenities
332,5332,For rent,Krasta r-ns,Salacas 1,1,23.0,1.0,4.0,Renov.,Brick,All amenities
334,5334,For rent,Āgenskalns,Mūkusalas 25,2,49.0,3.0,6.0,Jaun.,Panel-Brick,All amenities
343,5343,For rent,centrs,Terēzes 8,1,28.0,2.0,5.0,Renov.,Brick,All amenities
346,5346,For rent,Imanta,Anniņmuižas bulvāris 41,3,95.0,18.0,24.0,Jaun.,Panel-Brick,All amenities
347,5347,For rent,Imanta,Anniņmuižas bulvāris 41,3,96.0,6.0,24.0,Jaun.,Panel-Brick,All amenities
350,5350,For rent,Maskavas priekšpilsēta,Daugavpils 8,1,15.0,1.0,2.0,P. kara,Wood,All amenities
351,5351,For rent,Iļģuciems,Stūres 2,1,18.0,2.0,5.0,M. ģim.,Panel,Partial amenities
357,5357,For rent,Mežciems,Kaivas 50,1,35.0,5.0,5.0,Jaun.,Panel-Brick,All amenities
358,5358,For rent,Bolderāja,Gobas 29,2,60.0,4.0,5.0,Specpr.,Brick,All amenities
363,5363,For rent,centrs,Čaka 143,3,75.0,4.0,5.0,P. kara,Masonry,Partial amenities
364,5364,For rent,Ziepniekkalns,Ozolciema 12/2,2,59.0,9.0,9.0,119.,Panel,All amenities
366,5366,For rent,Ķengarags,Prūšu 15,2,39.0,3.0,5.0,LT proj.,Panel,All amenities
367,5367,For rent,Iļģuciems,Lilijas 9,3,54.0,4.0,5.0,Hrušč.,Brick,All amenities
370,5370,For rent,centrs,Kalniņa 6,1,56.0,1.0,5.0,Renov.,Masonry,All amenities
375,5375,For rent,Purvciems,Stirnu 53,1,30.0,3.0,5.0,LT proj.,Panel,All amenities
376,5376,For rent,centrs,Stabu 15,2,55.0,2.0,5.0,Staļina,Brick,All amenities
377,5377,For rent,centrs,Matīsa 69a,2,62.0,4.0,7.0,Jaun.,Brick,All amenities
389,5389,For rent,Iļģuciems,Sniķeres 24,1,27.0,1.0,1.0,Priv. m.,Wood,All amenities
391,5391,For rent,centrs,Ģertrūdes 50,2,45.0,6.0,6.0,P. kara,Masonry,All amenities
393,5393,For rent,Bolderāja,Dolomīta 2,1,32.0,5.0,5.0,Hrušč.,Brick,All amenities
394,5394,For rent,Bolderāja,Stagaru 4,1,38.0,4.0,5.0,M. ģim.,Brick-Panel,Partial amenities
395,5395,For rent,Kundziņsala,Kundziņsalas 8. šķ. l. 3,1,32.0,1.0,2.0,P. kara,Masonry,All amenities
396,5396,For rent,Mežciems,Mežciema 23,1,49.0,2.0,16.0,104.,Panel,All amenities
397,5397,For rent,Grīziņkalns,Alauksta 9,1,45.0,4.0,6.0,Jaun.,Brick-Panel,All amenities
400,5400,For rent,centrs,Ģertrūdes 81,1,45.0,2.0,3.0,Jaun.,Brick,All amenities
401,5401,For rent,Āgenskalns,Lielirbes 13,3,90.0,15.0,30.0,Jaun.,Masonry,All amenities
408,5408,For rent,centrs,Blaumaņa 56,2,64.0,5.0,6.0,P. kara,Masonry,All amenities
409,5409,For rent,Ziepniekkalns,Stērstu 22,2,40.0,1.0,2.0,Specpr.,Masonry,Partial amenities
410,5410,For rent,centrs,Miera 93,3,89.0,6.0,6.0,Jaun.,Panel,All amenities
413,5413,For rent,Teika,Brīvības gatve 404,1,30.0,2.0,12.0,Čehu pr.,Brick,All amenities
414,5414,For rent,Jugla,Brīvības gatve 404,1,30.0,2.0,12.0,Čehu pr.,Brick,All amenities
415,5415,For rent,centrs,Čaka 59,3,85.0,5.0,5.0,P. kara,Brick,All amenities
418,5418,For rent,Zolitūde,Augšzemes 5,2,57.0,3.0,4.0,Jaun.,Panel,All amenities
420,5420,For rent,centrs,Čaka 143,2,58.0,4.0,5.0,P. kara,Brick-Panel,All amenities
424,5424,For rent,Maskavas priekšpilsēta,Jēkabpils 9,1,25.0,3.0,3.0,Renov.,Masonry,All amenities
425,5425,For rent,Mežciems,Hipokrāta 11,1,45.0,12.0,16.0,104.,Panel,All amenities
426,5426,For rent,Zolitūde,Ruses 26,3,77.0,2.0,9.0,119.,Panel,All amenities
432,5432,For rent,centrs,Matīsa 35,3,63.0,3.0,5.0,Renov.,Masonry,All amenities
436,5436,For rent,Ķengarags,Aviācijas 23,1,35.0,6.0,12.0,LT proj.,Brick,All amenities
437,5437,For rent,Teika,Zemgala gatve 52,3,55.0,1.0,1.0,Priv. m.,Masonry,All amenities
438,5438,For rent,Jugla,Vangažu 11,1,32.0,4.0,12.0,M. ģim.,Brick,All amenities
443,5443,For rent,centrs,Lāčplēša 18,1,25.0,5.0,5.0,P. kara,Masonry,All amenities
447,5447,For rent,Ķengarags,Pelnu 2,2,49.0,5.0,5.0,LT proj.,Brick-Panel,All amenities
450,5450,For rent,Zolitūde,Rostokas 4,2,58.0,2.0,9.0,119.,Panel,All amenities
458,5458,For rent,centrs,Barona 21,2,50.0,4.0,4.0,P. kara,Brick,All amenities
459,5459,For rent,Pļavnieki,Saharova 7,1,43.0,6.0,9.0,M. ģim.,Panel,All amenities
465,5465,For rent,Maskavas priekšpilsēta,Maskavas 68,1,25.0,4.0,6.0,P. kara,Masonry,Partial amenities
473,5473,For rent,centrs,Stabu 111,1,30.0,1.0,5.0,P. kara,Brick,All amenities
474,5474,For rent,Sarkandaugava,Hāpsalas 1/1,2,64.0,2.0,5.0,Jaun.,Brick-Panel,All amenities
484,5484,For rent,centrs,Tomsona 42,1,30.0,1.0,5.0,Hrušč.,Brick,All amenities
486,5486,For rent,Sarkandaugava,Viestura pr. 43,1,35.0,2.0,9.0,Specpr.,Brick,All amenities
490,5490,For rent,centrs,Skolas 38,4,190.0,7.0,7.0,Renov.,Masonry,All amenities
491,5491,For rent,centrs,Lienes 14,1,30.0,2.0,3.0,P. kara,Brick,All amenities
493,5493,For rent,centrs,Birznieka-Upīša 13,2,55.0,2.0,5.0,Jaun.,Masonry,All amenities
494,5494,For rent,centrs,Barona 17,1,18.0,5.0,5.0,P. kara,Masonry,All amenities
495,5495,For rent,Purvciems,Dzelzavas 76,2,50.0,3.0,9.0,602.,Panel,All amenities
496,5496,For rent,Purvciems,Dudajeva g. 5,1,28.0,4.0,5.0,LT proj.,Panel,All amenities
498,5498,For rent,Pļavnieki,Pļavnieku 9,1,46.0,7.0,9.0,Jaun.,Brick-Panel,All amenities
500,5500,For rent,Pļavnieki,Grestes 2,1,31.0,6.0,9.0,602.,Panel,All amenities
502,5502,For rent,Ziepniekkalns,Īslīces 14,1,29.0,2.0,12.0,M. ģim.,Brick,All amenities
503,5503,For rent,Torņakalns,Jelgavas 63,2,57.0,6.0,6.0,Jaun.,Brick-Panel,All amenities
504,5504,For rent,Iļģuciems,Stūres 2,1,18.0,5.0,5.0,M. ģim.,Brick,All amenities
505,5505,For rent,Zolitūde,Gramzdas 80,1,55.0,1.0,4.0,Jaun.,Panel,All amenities
508,5508,For rent,centrs,Bruņinieku 115,1,22.0,1.0,4.0,Renov.,Masonry,All amenities
509,5509,For rent,Sarkandaugava,Tilta 4,1,38.0,4.0,4.0,P. kara,Masonry,All amenities
510,5510,For rent,Maskavas priekšpilsēta,Viļānu 6,1,37.0,5.0,5.0,LT proj.,Panel,All amenities
511,5511,For rent,centrs,Marijas 16,4,104.0,4.0,6.0,Renov.,Masonry,All amenities
521,5521,For rent,Āgenskalns,Nometņu 62,1,20.0,1.0,1.0,Priv. m.,Wood,All amenities
523,5523,For rent,centrs,Lāčplēša 98,1,20.0,4.0,6.0,Renov.,Brick-Panel,All amenities
524,5524,For rent,Maskavas priekšpilsēta,Maskavas 180,1,40.0,1.0,5.0,Specpr.,Brick,All amenities
526,5526,For rent,Grīziņkalns,Alauksta 9,3,109.0,6.0,6.0,Jaun.,Brick-Panel,All amenities
529,5529,For rent,Purvciems,Ķeguma 43,1,40.0,5.0,5.0,M. ģim.,Panel,All amenities
532,5532,For rent,centrs,Marijas 16,2,48.0,3.0,6.0,P. kara,Brick,All amenities
546,5546,For rent,centrs,Rūpniecības 20,3,89.0,2.0,4.0,Renov.,Brick,All amenities
554,5554,For rent,Teika,Stārķu 2,2,45.0,1.0,5.0,Jaun.,Panel,All amenities
556,5556,For rent,Imanta,Kurzemes pr. 112,1,27.0,4.0,5.0,LT proj.,Panel,All amenities
560,5560,For rent,centrs,Vīlandes 10,3,135.0,5.0,5.0,Renov.,Brick,All amenities
561,5561,For rent,centrs,Stabu 71,2,47.0,3.0,5.0,P. kara,Masonry,All amenities
562,5562,For rent,Purvciems,Burtnieku 35,1,18.0,2.0,4.0,Specpr.,Brick,All amenities
563,5563,For rent,centrs,Brīvības iela 139,3,200.0,2.0,5.0,Renov.,Brick,All amenities
565,5565,For rent,centrs,Marijas 16,2,32.0,4.0,6.0,Renov.,Brick,All amenities
566,5566,For rent,Dzegužkalns,Jaunsaules 5,1,18.0,2.0,5.0,LT proj.,Panel,All amenities
567,5567,For rent,centrs,Rūpniecības 5,2,120.0,5.0,5.0,Renov.,Masonry,All amenities
568,5568,For rent,Mežciems,Mežciema 44,2,49.0,5.0,5.0,LT proj.,Panel,All amenities
573,5573,For rent,centrs,Klijānu 6,3,79.0,7.0,9.0,Jaun.,Masonry,All amenities
574,5574,For rent,Mežciems,Kaivas 74b,3,70.0,1.0,5.0,Jaun.,Masonry,All amenities
575,5575,For rent,Mežciems,Kaivas 50-94b,1,39.0,1.0,5.0,Jaun.,Masonry,All amenities
576,5576,For rent,Zolitūde,Zolitūdes 47,1,45.0,9.0,8.0,119.,Panel,All amenities
577,5577,For rent,centrs,Jeruzalemes 5,2,67.0,2.0,6.0,Jaun.,Panel-Brick,All amenities
579,5579,For rent,centrs,Čaka 117/1,3,75.0,6.0,6.0,Renov.,Masonry,All amenities
585,5585,For rent,Vecrīga,Peitavas 5,3,78.0,5.0,5.0,Renov.,Brick,All amenities
588,5588,For rent,Teika,Bajāru 7,3,58.0,2.0,2.0,Jaun.,Brick,All amenities
589,5589,For rent,Zolitūde,Gramzdas 82,1,55.0,1.0,4.0,Jaun.,Brick-Panel,All amenities
591,5591,For rent,centrs,Gogoļa 7,2,60.0,4.0,4.0,P. kara,Masonry,All amenities
598,5598,For rent,centrs,Pulkv. Brieža 7,3,100.0,2.0,6.0,Renov.,Brick-Panel,All amenities
600,5600,For rent,Daugavgrīva,Flotes 8,1,25.0,2.0,2.0,Renov.,Brick,All amenities
602,5602,For rent,Jugla,Veldres 7,2,45.0,3.0,5.0,Hrušč.,Panel,All amenities
603,5603,For rent,centrs,Sadovņikova 25,2,67.0,3.0,5.0,Jaun.,Panel-Brick,All amenities
