,id,op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition
1877,6877,Buying,Jaunciems,Jaunciema g.,2,,2.0,5.0,LT proj.,Brick-Panel,All amenities
1979,6979,Buying,Imanta,,,,,,,,
1996,6996,Buying,Teika,,2,,,,,,
2017,7017,Buying,Jugla,,Citi,,,,,,
2028,7028,Buying,Daugavgrīva,,2,,,,,,
2029,7029,Buying,Imanta,,Citi,,,,,,
2043,7043,Buying,Zolitūde,,Citi,,,,,,
2044,7044,Buying,Vecmīlgrāvis,,Citi,,,,,,
2045,7045,Buying,Čiekurkalns,,Citi,,,,,,
2046,7046,Buying,Bolderāja,,Citi,,,,,,
2084,7084,Buying,centrs,,Citi,20.0,20.0,20.0,,,
2085,7085,Buying,Teika,,Citi,20.0,20.0,20.0,,,
2086,7086,Buying,Sarkandaugava,,Citi,20.0,20.0,20.0,,,
2112,7112,Buying,Iļģuciems,,Citi,20.0,20.0,20.0,,,
2113,7113,Buying,Imanta,,Citi,20.0,20.0,20.0,,,
2114,7114,Buying,Dzegužkalns,,Citi,20.0,20.0,20.0,,,
2115,7115,Buying,,,Citi,20.0,20.0,20.0,,,
2116,7116,Buying,Ziepniekkalns,,Citi,20.0,20.0,20.0,,,
2117,7117,Buying,Vecmīlgrāvis,,Citi,20.0,20.0,20.0,,,
2118,7118,Buying,Purvciems,,Citi,20.0,20.0,20.0,,,
2134,7134,Buying,centrs,,3,,2.0,,,,
2153,7153,Buying,Dzegužkalns,,,,,,,,
2155,7155,Buying,Čiekurkalns,,Citi,,,,,,
2233,7233,Buying,Zolitūde,,,,,,,,
2234,7234,Buying,Ziepniekkalns,,,,,,,,
2235,7235,Buying,Vecmīlgrāvis,,,,,,,,
2237,7237,Buying,Teika,,,,,,,,
2238,7238,Buying,Sarkandaugava,,,,,,,,
2240,7240,Buying,Purvciems,,,,,,,,
2241,7241,Buying,Pļavnieki,,,,,,,,
2242,7242,Buying,Mežciems,,,,,,,,
2261,7261,Buying,Šampēteris-Pleskodāle,,Citi,,,,,,
2277,7277,Buying,Teika,Brīvības iela,2,50.0,,,,,
2306,7306,Buying,,,Citi,,,,,,
2316,7316,Buying,Krasta r-ns,,Citi,,,,,,
2330,7330,Buying,Purvciems,,,1.0,11.0,1.0,,,
2333,7333,Buying,Maskavas priekšpilsēta,,,,21.0,12.0,,,
2334,7334,Buying,Jugla,,,3.0,33.0,3.0,,,
2335,7335,Buying,Vecmīlgrāvis,,1,99.0,99.0,9.0,,,
2336,7336,Buying,Vecdaugava,,,4.0,44.0,4.0,,,
2337,7337,Buying,Beberbeķi,,,,11.0,1.0,,,
2338,7338,Buying,Ķengarags,,,,16.0,1.0,,,All amenities
2339,7339,Buying,Āgenskalns,,2,,9.0,1.0,,Masonry,All amenities
2340,7340,Buying,Dzegužkalns,,1,1.0,1.0,1.0,,,
2341,7341,Buying,centrs,,,9.0,99.0,9.0,,,
2342,7342,Buying,Čiekurkalns,,,4.0,44.0,4.0,,,
2343,7343,Buying,Imanta,,,11.0,11.0,1.0,,,
2344,7344,Buying,Ķīpsala,,,4.0,44.0,4.0,,,
2345,7345,Buying,Iļģuciems,,,12.0,21.0,12.0,,,
2346,7346,Buying,Klīversala,,,4.0,44.0,4.0,,,
2347,7347,Buying,Zolitūde,,,,99.0,9.0,,,
2422,7422,Buying,Ziepniekkalns,,3,,,,,,All amenities
2434,7434,Buying,Dzegužkalns,,3,,,,,,
2435,7435,Buying,centrs,,,,,,,,
2446,7446,Buying,Āgenskalns,,2,,,,,,
2449,7449,Buying,Sarkandaugava,,2,,,,,,
2451,7451,Buying,Ķengarags,,2,,,,,,
2458,7458,Buying,Iļģuciems,,5,,,,,,
2500,7500,Buying,Mežciems,,4,,,,602.,,All amenities
2505,7505,Buying,Ķengarags,Lokomotīves 48,1,30.0,2.0,4.0,LT proj.,Panel,All amenities
2539,7539,Buying,Pļavnieki,,Citi,,,,,,
2540,7540,Buying,Mežciems,,Citi,,,,,,
2541,7541,Buying,Sarkandaugava,,Citi,,,,,,
2542,7542,Buying,centrs,,2,60.0,2.0,5.0,,,
2559,7559,Buying,Ķengarags,,2,45.0,,,,,All amenities
2570,7570,Buying,VEF,,Citi,,,,,,
2571,7571,Buying,Zolitūde,,Citi,,,,,,
2573,7573,Buying,Ziepniekkalns,,Citi,,,,,,
2574,7574,Buying,centrs,,Citi,,,,,,
2575,7575,Buying,Vecrīga,,Citi,,,,,,
2576,7576,Buying,Vecmīlgrāvis,,Citi,,,,,,
2577,7577,Buying,Torņakalns,,Citi,,,,,,
2578,7578,Buying,Teika,,Citi,,,,,,
2579,7579,Buying,Šķirotava,,Citi,,,,,,
2580,7580,Buying,Sarkandaugava,,Citi,,,,,,
2581,7581,Buying,Šampēteris-Pleskodāle,,Citi,,,,,,
2582,7582,Buying,Purvciems,,Citi,,,,,,
2583,7583,Buying,Pļavnieki,,Citi,,,,,,
2584,7584,Buying,Mežciems,,Citi,,,,,,
2585,7585,Buying,Mežaparks,,Citi,,,,,,
2586,7586,Buying,Maskavas priekšpilsēta,,Citi,,,,,,
2604,7604,Buying,Krasta r-ns,,,,,,,,
2605,7605,Buying,Teika,,,,,,,,
2606,7606,Buying,Dārzciems,,,,,,,,
2607,7607,Buying,Čiekurkalns,,,,,,,,
2627,7627,Buying,Teika,,Citi,,,,,,
2655,7655,Buying,Torņakalns,,3,,,,,,All amenities
2666,7666,Buying,Grīziņkalns,,Citi,,,,,,
2686,7686,Buying,Vecrīga,,Citi,,,,,,
2700,7700,Buying,Mežciems,,Citi,,,,,,
2716,7716,Buying,Jāņavārti,,,,,,,,
2725,7725,Buying,Stacija-Tirgus,,,22.0,12.0,1.0,,,
2726,7726,Buying,VEF,,,1.0,1.0,1.0,,,
2796,7796,Buying,Ķengarags,,,,,,,,
2797,7797,Buying,Pļavnieki,,,,,,,,
2798,7798,Buying,Purvciems,,,,,,,,
2799,7799,Buying,Mežciems,,,,,,,,
2800,7800,Buying,Jugla,,,,,,,,
2801,7801,Buying,centrs,,,,,,,,
2826,7826,Buying,,,Citi,,,,,,
2827,7827,Buying,Krasta r-ns,,Citi,,,,,,
2828,7828,Buying,Ķengarags,,Citi,,,,,,
2829,7829,Buying,Jugla,,Citi,,,,,,
2830,7830,Buying,Imanta,,Citi,,,,,,
2831,7831,Buying,Āgenskalns,,Citi,,,,,,
2832,7832,Buying,Berģi,,Citi,,,,,,
2833,7833,Buying,Čiekurkalns,,Citi,,,,,,
2834,7834,Buying,Iļģuciems,,Citi,,,,,,
2835,7835,Buying,Grīziņkalns,,Citi,,,,,,
2836,7836,Buying,Dārzciems,,Citi,,,,,,
2842,7842,Buying,Ķengarags,,2,,,,,,
2851,7851,Buying,Ķengarags,,Citi,,,,,,
2852,7852,Buying,Jugla,,Citi,,,,,,
2880,7880,Buying,Teika,,Citi,,,,,,
2882,7882,Buying,Vecmīlgrāvis,,Citi,,,,,,
2885,7885,Buying,Mežaparks,,Citi,,,,,,
2892,7892,Buying,Iļģuciems,,2,,,,,,
2894,7894,Buying,Krasta r-ns,,2,,,,,,All amenities
2895,7895,Buying,Dārzciems,,2,,,,,,
2896,7896,Buying,Vecrīga,,2,,,,,,
2897,7897,Buying,Zolitūde,,2,,,,,,
2944,7944,Buying,Teika,,2,,,,,,
2968,7968,Buying,Dzegužkalns,,Citi,,,,,,
3005,8005,Buying,Krasta r-ns,,,8.0,88.0,8.0,,,
3006,8006,Buying,Mežciems,,,4.0,44.0,4.0,,,
3007,8007,Buying,Šampēteris-Pleskodāle,,,8.0,88.0,8.0,,,
3008,8008,Buying,Dārzciems,,,,77.0,7.0,,,
3009,8009,Buying,Mežaparks,,2,,12.0,9.0,,,
3010,8010,Buying,Pļavnieki,,1,,99.0,9.0,,,
3011,8011,Buying,Stacija-Tirgus,,6,7.0,77.0,7.0,,,
3012,8012,Buying,Torņakalns,,,,77.0,7.0,,,
3013,8013,Buying,Teika,,2,,12.0,9.0,,,
3014,8014,Buying,Grīziņkalns,,,9.0,99.0,9.0,,,
3015,8015,Buying,Sarkandaugava,,1,99.0,99.0,9.0,,,
3016,8016,Buying,Ziepniekkalns,,,9.0,9.0,99.0,,,
3020,8020,Buying,centrs,,,,,,,,
3021,8021,Buying,Čiekurkalns,,,,,,,,
3022,8022,Buying,Bolderāja,,,,,,,,
3023,8023,Buying,Vecrīga,,Citi,,,,,,
3080,8080,Buying,Maskavas priekšpilsēta,,,,,,,,
3081,8081,Buying,Krasta r-ns,,,,,,,,
3082,8082,Buying,Ķengarags,,,,,,,,
3083,8083,Buying,Jugla,,,,,,,,
3084,8084,Buying,Imanta,,,,,,,,
3085,8085,Buying,Iļģuciems,,,,,,,,
3086,8086,Buying,Dzegužkalns,,,,,,,,
3087,8087,Buying,Dārzciems,,,,,,,,
3088,8088,Buying,Bolderāja,,,,,,,,
3135,8135,Buying,Krasta r-ns,,,,,,,,
3136,8136,Buying,Purvciems,,,,,,,,
3137,8137,Buying,Maskavas priekšpilsēta,,,,,,,,
3166,8166,Buying,Pļavnieki,,Citi,20.0,20.0,20.0,,,
3167,8167,Buying,Mežciems,,Citi,20.0,20.0,20.0,,,
3168,8168,Buying,Maskavas priekšpilsēta,,Citi,20.0,20.0,20.0,,,
3169,8169,Buying,Krasta r-ns,,Citi,20.0,20.0,20.0,,,
3170,8170,Buying,Ķengarags,,1,20.0,20.0,20.0,,,
3171,8171,Buying,Āgenskalns,,Citi,20.0,20.0,20.0,,,
3172,8172,Buying,Bieriņi,,Citi,20.0,20.0,20.0,,,
3173,8173,Buying,Berģi,,,,24.0,12.0,,,
3174,8174,Buying,Bolderāja,,Citi,20.0,20.0,20.0,,,
3175,8175,Buying,Čiekurkalns,,,1.0,1.0,1.0,,,
3176,8176,Buying,Šampēteris-Pleskodāle,,Citi,20.0,20.0,20.0,,,
3177,8177,Buying,Jugla,,Citi,20.0,20.0,20.0,,,
3208,8208,Buying,centrs,Brīvības iela,2,50.0,,,P. kara,,
3258,8258,Buying,Jugla,,,1.0,1.0,1.0,,,
3259,8259,Buying,Imanta,,,1.0,1.0,1.0,,,
3267,8267,Buying,Imanta,,,,,,,,
3268,8268,Buying,Imanta,,,9.0,9.0,99.0,,,
3336,8336,Buying,centrs,,Citi,,,,,,
3370,8370,Buying,Šampēteris-Pleskodāle,,,,,,,,
3371,8371,Buying,Mežaparks,,,,,,,,
3372,8372,Buying,Jugla,,,,,,,,
3374,8374,Buying,Imanta,,,,,,,,
3375,8375,Buying,Čiekurkalns,,,,,,,,
3399,8399,Buying,centrs,,1,,2.0,,,,
3415,8415,Buying,Mangaļi,,,,,,,,
3450,8450,Buying,Mežaparks,,Citi,,,,,,
3499,8499,Buying,centrs,,Citi,,,,,,
3509,8509,Buying,Ziepniekkalns,,Citi,,,,,,
3515,8515,Buying,Krasta r-ns,,,,,,,,
3525,8525,Buying,Čiekurkalns,,,8.0,88.0,8.0,,,
3526,8526,Buying,Mežaparks,,,4.0,44.0,4.0,,,
3527,8527,Buying,centrs,,2,,12.0,1.0,,,
3528,8528,Buying,Āgenskalns,,,3.0,33.0,3.0,,,
3535,8535,Buying,Jugla,,2,,,,,,All amenities
3536,8536,Buying,Torņakalns,,2,,,,,,All amenities
3537,8537,Buying,Teika,,2,,,,,,All amenities
3539,8539,Buying,Ziepniekkalns,,,,,,,,
3540,8540,Buying,Pļavnieki,,,,,,,,
3542,8542,Buying,Purvciems,,,7.0,77.0,7.0,,,
3543,8543,Buying,Pļavnieki,,,1.0,1.0,1.0,,,
3544,8544,Buying,Ķengarags,,,,10.0,1.0,,,
3553,8553,Buying,Jugla,,,6.0,66.0,6.0,,,
3554,8554,Buying,Sarkandaugava,,,,11.0,1.0,,,
3555,8555,Buying,Pļavnieki,,Citi,,,,,,
3564,8564,Buying,Ziepniekkalns,,Citi,,,,,,
3565,8565,Buying,Sarkandaugava,,,,,,,,
3566,8566,Buying,Dārzciems,,Citi,,,,,,
3567,8567,Buying,Daugavgrīva,,Citi,,,,,,
3568,8568,Buying,centrs,,Citi,,,,,,
3569,8569,Buying,Dzegužkalns,,Citi,,,,,,
3570,8570,Buying,Pļavnieki,,,,,,,,
3625,8625,Buying,Sarkandaugava,,2,,,,,,
3628,8628,Buying,Pļavnieki,,2,,,,,,
3700,8700,Buying,Purvciems,,2,,,,,,
3707,8707,Buying,Daugavgrīva,,Citi,123.0,12.0,34.0,,,
3760,8760,Buying,Ķengarags,Prūšu 4c,2,,,,Jaun.,,
3773,8773,Buying,Purvciems,,2,,,,,,
3793,8793,Buying,,,2,,,,,,All amenities
3807,8807,Buying,centrs,,,,,,,,
3808,8808,Buying,Zolitūde,,,,,,,,
3809,8809,Buying,Imanta,,,,,,,,
3855,8855,Buying,Ķengarags,,4,,,,,,
3870,8870,Buying,Jugla,,6,,,,,,
3895,8895,Buying,centrs,,2,,,,,,
3952,8952,Buying,Ķengarags,,Citi,,,,,,
3953,8953,Buying,Imanta,,Citi,,,,,,
3954,8954,Buying,Ziepniekkalns,,,,,,,,
3955,8955,Buying,Imanta,,,,10.0,1.0,,,
3956,8956,Buying,Ķengarags,,,10.0,10.0,11.0,,,
4009,9009,Buying,Zolitūde,,4,,,,,,
4010,9010,Buying,Purvciems,,4,90.0,,,,,
4011,9011,Buying,Teika,,4,150.0,,,,,
4026,9026,Buying,centrs,,2,,,,P. kara,Masonry,All amenities
4058,9058,Buying,Āgenskalns,,,,,,,,
4070,9070,Buying,Imanta,,,9.0,99.0,9.0,,Panel,All amenities
4071,9071,Buying,Iļģuciems,,,10.0,9.0,1.0,,,
4175,9175,Buying,Purvciems,,Citi,,,,,,
4276,9276,Buying,Pļavnieki,,2,,,,,,All amenities
4295,9295,Buying,Purvciems,,,10.0,10.0,11.0,,,
4296,9296,Buying,Āgenskalns,,,9.0,99.0,9.0,,,
4369,9369,Buying,Imanta,,4,,,,,,All amenities
4382,9382,Buying,Āgenskalns,,Citi,,,,,,
4396,9396,Buying,Mangaļi,,1,99.0,99.0,9.0,,,
4407,9407,Buying,Sarkandaugava,,,4.0,44.0,4.0,,,
4425,9425,Buying,centrs,,2,,12.0,9.0,,,
4431,9431,Buying,Iļģuciems,,Citi,,,,,,
4461,9461,Buying,Imanta,,2,,,,,,All amenities
4462,9462,Buying,Ziepniekkalns,,2,,,,,,All amenities
4494,9494,Buying,Dārzciems,Lapsu,2,65.0,2.0,,Jaun.,Panel,
4510,9510,Buying,centrs,,1,,,,,,
4523,9523,Buying,Imanta,,,,,,,,
4601,9601,Buying,Ķengarags,,2,,,,,,
4602,9602,Buying,Purvciems,,2,,,,,,
4603,9603,Buying,Pļavnieki,,Citi,,,,,,
4640,9640,Buying,Ķengarags,,,,,,,,
